user_id,username,email,date_joined
1,jane_doe,jane.doe@samplemail.com,1/1/2023
2,john_smith,john.smith@workemail.org,1/2/2023
3,sam_wilson,sam.wilson@flyhigh.net,1/3/2023
4,clara_oswald,clara.oswald@timehub.com,1/4/2023
5,peter_parker,peter.parker@spidermail.com,1/5/2023
6,bruce_wayne,bruce.wayne@wayneenterprises.com,1/6/2023
7,diana_prince,diana.prince@themyscira.org,1/7/2023
8,tony_stark,tony.stark@starkindustries.com,1/8/2023
9,natasha_romanoff,natasha.romanoff@blackops.net,1/9/2023
10,steve_rogers,steve.rogers@freedommail.com,1/10/2023
11,wanda_maximoff,wanda.maximoff@magicmail.org,1/11/2023
12,clark_kent,clark.kent@dailyplanet.com,1/12/2023
13,lois_lane,lois.lane@reporterlife.org,1/13/2023
14,barry_allen,barry.allen@fastmail.com,1/14/2023
15,kara_danvers,kara.danvers@supermail.net,1/15/2023
16,luke_skywalker,luke.skywalker@jediorder.org,1/16/2023
17,leia_organa,leia.organa@rebelmail.net,1/17/2023
18,han_solo,han.solo@millenniumfalcon.com,1/18/2023
19,frodo_baggins,frodo.baggins@shiremail.org,1/19/2023
20,samwise_gamgee,samwise.gamgee@faithfulmail.com,1/20/2023
